barcode,split,plate,plate_index,plate_row,plate_col,Well Position
BC206,1,P2,51,4,3,E04
BC210,1,P2,52,4,4,E05
BC214,1,P2,53,4,5,E06
BC218,1,P2,54,4,6,E07
BC222,1,P2,55,4,7,E08
BC226,1,P2,56,4,8,E09
BC230,1,P2,57,4,9,E10
BC234,1,P2,58,4,10,E11
BC238,1,P2,59,4,11,E12
BC242,1,P2,60,5,0,F01
BC246,1,P2,61,5,1,F02
BC250,1,P2,62,5,2,F03
BC254,1,P2,63,5,3,F04
BC258,1,P2,64,5,4,F05
BC262,1,P2,65,5,5,F06
BC266,1,P2,66,5,6,F07
BC270,1,P2,67,5,7,F08
BC274,1,P2,68,5,8,F09
BC278,1,P2,69,5,9,F10
BC282,1,P2,70,5,10,F11
BC286,1,P2,71,5,11,F12
BC290,1,P2,72,6,0,G01
BC294,1,P2,73,6,1,G02
BC298,1,P2,74,6,2,G03
BC302,1,P2,75,6,3,G04
BC306,1,P2,76,6,4,G05
BC310,1,P2,77,6,5,G06
BC314,1,P2,78,6,6,G07
BC318,1,P2,79,6,7,G08
BC322,1,P2,80,6,8,G09
BC326,1,P2,81,6,9,G10
BC330,1,P2,82,6,10,G11
BC334,1,P2,83,6,11,G12
BC338,1,P2,84,7,0,H01
BC342,1,P2,85,7,1,H02
BC346,1,P2,86,7,2,H03
BC350,1,P2,87,7,3,H04
BC354,1,P2,88,7,4,H05
BC358,1,P2,89,7,5,H06
BC362,1,P2,90,7,6,H07
BC366,1,P2,91,7,7,H08
BC370,1,P2,92,7,8,H09
BC374,1,P2,93,7,9,H10
BC378,1,P2,94,7,10,H11
BC382,1,P2,95,7,11,H12
BC3,1,P3,0,0,0,A01
BC7,1,P3,1,0,1,A02
BC11,1,P3,2,0,2,A03
BC15,1,P3,3,0,3,A04
BC19,1,P3,4,0,4,A05
BC23,1,P3,5,0,5,A06
BC27,1,P3,6,0,6,A07
BC31,1,P3,7,0,7,A08
BC35,1,P3,8,0,8,A09
